a52dec 0.7.4-8
acl 2.2.52-2
adwaita-icon-theme 3.20-1
alsa-lib 1.1.1-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.1-1
android-platform-22 5.1.1_r02-1
android-sdk 24.4.1-3
android-sdk-build-tools r23.0.3-1
android-sdk-platform-tools r23.1.0-2
android-studio 2.1.0.9-1
archlinux-keyring 20160402-1
arpack 3.3.0-1
asciidoc 8.6.9-2
aspell 0.60.6.1-5
at-spi2-atk 2.20.1-1
at-spi2-core 2.20.1-1
atk 2.20.0-1
attica-qt4 0.4.2-3
attica-qt5 5.21.0-1
attr 2.4.47-1
autoconf 2.69-2
automake 1.15-1
avahi 0.6.32-2
baloo 5.21.0-2
bash 4.3.042-4
bash-completion 2.3-4
bbswitch 0.8-47
bc 1.06.95-1
binutils 2.26-4
bison 3.0.4-2
blas 3.6.0-5
bluedevil 1:5.6.3-1
bluez 5.39-1
bluez-qt 5.21.0-1
breeze 5.6.3-1
breeze-icons 5.21.0-1
bumblebee 3.2.1-11
bzip2 1.0.6-5
ca-certificates 20150402-1
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.23-3
ca-certificates-utils 20150402-1
cairo 1.14.6-1
cairo-perl 1.106-1
cdparanoia 10.2-5
cifs-utils 6.5-1
cln 1.3.4-3
colord 1.3.2-1
compositeproto 0.4.2-3
convertlit 1.8-7
coreutils 8.25-1
cracklib 2.9.6-1
cryptsetup 1.7.1-1
curl 7.48.0-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.8-1
dbus-glib 0.106-1
dcadec 0.2.0-1
dconf 0.26.0-1
desktop-file-utils 0.22-2
device-mapper 2.02.150-1
dhclient 4.3.4-2
dhcpcd 6.10.2-1
dialog 1:1.3_20160209-1
diffutils 3.3-2
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
dosfstools 3.0.28-1
dotconf 1.3-4
dri2proto 2.8-2
dri3proto 1.0-1
drkonqi 5.6.3-1
e2fsprogs 1.42.13-1
ebook-tools 0.2.2-3
efibootmgr 0.12-1
efivar 0.21-1
elfutils 0.166-1
emacs 24.5-3
enca 1.18-1
enchant 1.6.0-7
exiv2 0.25-3
expac 7-1
expat 2.1.1-1
faad2 2.7-4
fakeroot 1.20.2-1
ffmpeg 1:3.0.2-2
ffmpeg2.8 2.8.6-1
fftw 3.3.4-1
figlet 2.2.5-2
